,aID,company_name,vacancies,post_time,result,sentences,成就感,學習成長,創新,薪資,福利,管理制度,工作氛圍,同事互動,主管風格,工作地點,公司規模,工作環境,產業前景,輪調,外派,出差,引擎,馬力,避震,外觀,操控,安全,堅固,配備,價錢,科技,品質,折舊,品牌,空間,保養,續航,尺寸,車種,驅動,變速箱,電資,機械,製造,車輛工程,品管,多元性,企業社會責任,企業永續目標,面試,徵才,實習,工作,離職,轉職,新鮮人,畢業,出路,能力,招募人員,正向,負向,p_year_month
0,42,裕隆集團_裕隆汽車製造股份有限公司,生產技術工程師,2023.03.06,"公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師。如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情","公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2023-03
1,42,裕隆集團_裕隆汽車製造股份有限公司,生產技術工程師,2023.03.06,"公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師。如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情",如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2023-03
2,43,裕隆集團_裕隆汽車製造股份有限公司,工程師,2023.02.28,"報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情。想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來","報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2023-02
3,43,裕隆集團_裕隆汽車製造股份有限公司,工程師,2023.02.28,"報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情。想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來","想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2023-02
4,44,裕隆集團_裕隆汽車製造股份有限公司,品檢技術員,2022.11.23,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你)。。傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線。,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-11
5,44,裕隆集團_裕隆汽車製造股份有限公司,品檢技術員,2022.11.23,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你)。。傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線。,傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2022-11
6,57,裕隆集團_裕隆汽車製造股份有限公司,生產技術工程師,2023.03.06,"公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師。如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情","公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2023-03
7,57,裕隆集團_裕隆汽車製造股份有限公司,生產技術工程師,2023.03.06,"公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師。如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情",如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2023-03
8,58,裕隆集團_裕隆汽車製造股份有限公司,工程師,2023.02.28,"報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情。想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來","報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2023-02
9,58,裕隆集團_裕隆汽車製造股份有限公司,工程師,2023.02.28,"報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情。想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來","想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2023-02
10,59,裕隆集團_裕隆汽車製造股份有限公司,品檢技術員,2022.11.23,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你)。。傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線。,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-11
11,59,裕隆集團_裕隆汽車製造股份有限公司,品檢技術員,2022.11.23,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你)。。傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線。,傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2022-11
12,72,裕隆集團_裕隆汽車製造股份有限公司,生產技術工程師,2023.03.06,"公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師。如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情","公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2023-03
13,72,裕隆集團_裕隆汽車製造股份有限公司,生產技術工程師,2023.03.06,"公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師。如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情",如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2023-03
14,73,裕隆集團_裕隆汽車製造股份有限公司,工程師,2023.02.28,"報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情。想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來","報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2023-02
15,73,裕隆集團_裕隆汽車製造股份有限公司,工程師,2023.02.28,"報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情。想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來","想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2023-02
16,74,裕隆集團_裕隆汽車製造股份有限公司,品檢技術員,2022.11.23,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你)。。傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線。,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-11
17,74,裕隆集團_裕隆汽車製造股份有限公司,品檢技術員,2022.11.23,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你)。。傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線。,傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2022-11
18,87,裕隆集團_裕隆汽車製造股份有限公司,生產技術工程師,2023.03.06,"公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師。如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情","公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2023-03
19,87,裕隆集團_裕隆汽車製造股份有限公司,生產技術工程師,2023.03.06,"公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師。如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情",如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2023-03
20,88,裕隆集團_裕隆汽車製造股份有限公司,工程師,2023.02.28,"報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情。想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來","報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2023-02
21,88,裕隆集團_裕隆汽車製造股份有限公司,工程師,2023.02.28,"報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情。想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來","想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2023-02
22,89,裕隆集團_裕隆汽車製造股份有限公司,品檢技術員,2022.11.23,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你)。。傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線。,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-11
23,89,裕隆集團_裕隆汽車製造股份有限公司,品檢技術員,2022.11.23,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你)。。傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線。,傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2022-11
24,102,裕隆集團_裕隆汽車製造股份有限公司,生產技術工程師,2023.03.06,"公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師。如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情","公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2023-03
25,102,裕隆集團_裕隆汽車製造股份有限公司,生產技術工程師,2023.03.06,"公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師。如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情",如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2023-03
26,103,裕隆集團_裕隆汽車製造股份有限公司,工程師,2023.02.28,"報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情。想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來","報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2023-02
27,103,裕隆集團_裕隆汽車製造股份有限公司,工程師,2023.02.28,"報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情。想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來","想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2023-02
28,104,裕隆集團_裕隆汽車製造股份有限公司,品檢技術員,2022.11.23,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你)。。傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線。,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-11
